iter	RMSE
0	0.9506011586
1	0.9103051661
2	0.8711045298
3	0.8352650676
4	0.8010343596
5	0.769330017
6	0.7381114346
7	0.7090459698
8	0.6811172642
9	0.6542473198
10	0.6282971264
11	0.6046002195
12	0.582381648
13	0.5607077972
14	0.5399714532
15	0.5213583911
16	0.5026101755
17	0.4851408126
18	0.46896874
19	0.4535161937
20	0.4390993076
21	0.4250795555
22	0.4116492294
23	0.3988297393
24	0.3870603393
25	0.3757280032
26	0.3645335266
27	0.3538802289
28	0.3443012492
29	0.3353083465
30	0.3261064196
31	0.3177213124
32	0.310045218
33	0.3027669683
34	0.2960361279
35	0.2895069549
36	0.2833761578
37	0.2774187128
38	0.2716153561
39	0.2667474024
40	0.26204008
41	0.2577506585
42	0.2533836403
43	0.2493923333
44	0.2455496266
45	0.2421790646
46	0.2386844741
47	0.2352951522
48	0.2320438986
49	0.2294026144
50	0.2267821887
51	0.2241884692
52	0.2217682876
53	0.2194337407
54	0.2170376926
55	0.2149019365
56	0.2128651027
57	0.2109628383
58	0.2091452714
59	0.2076407599
60	0.2058358217
61	0.2043613314
62	0.2029285461
63	0.2015262734
64	0.2002695484
65	0.1990185825
66	0.1977111653
67	0.1966105304
68	0.1955028708
69	0.1944447401
70	0.1935104831
71	0.1926486066
72	0.1915804905
73	0.1907245532
74	0.1899286632
75	0.1892568772
76	0.1884271737
77	0.1878173944
78	0.1871041266
79	0.1864873695
80	0.1858746855
81	0.1853245098
82	0.184728975
83	0.1841048243
84	0.1835710867
85	0.1830463976
86	0.1825649807
87	0.1820777125
88	0.1816179294
89	0.181263837
90	0.1809270769
91	0.1805633405
92	0.1801944412
93	0.179826497
94	0.1794672341
95	0.1791981976
96	0.1788294493
97	0.1785205785
98	0.178239498
99	0.1779142506
100	0.1775843464
101	0.1772829505
102	0.1769220896
103	0.1767054095
104	0.1764351471
105	0.1762480178
106	0.1760642628
107	0.175747751
108	0.1754486839
109	0.1752302606
110	0.1750224069
111	0.1747603042
112	0.1746158846
113	0.1744889236
114	0.1743373575
115	0.1740537758
116	0.1738822702
117	0.1735969745
118	0.1733745589
119	0.1732696539
120	0.173072512
121	0.17283741
122	0.1726495328
123	0.172495337
124	0.1723515084
125	0.1722358082
126	0.1719610084
127	0.1718326778
128	0.1716720375
129	0.1714453987
130	0.171278655
131	0.1710951526
132	0.1707853738
133	0.1707009167
134	0.1704900862
135	0.1703905597
136	0.1703170562
137	0.170179931
138	0.1699713482
139	0.1698061663
140	0.1697106839
141	0.1696068582
142	0.1694917686
143	0.1693382291
144	0.1690758544
145	0.1689483027
146	0.1688330146
147	0.1687305926
148	0.1685467248
